Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
0x0A30	Float	0.0
0x0A30	Byte	0
0x0A38	Int32	0
0x0A38	Float	0.0
0x0A38	Byte	0
0x0A40	Int32	0
0x0A40	Float	0.0
0x0A40	Byte	0
0x0A48	Int32	0
0x0A48	Float	0.0
0x0A48	Byte	0
0x0A50	Int32	0
0x0A50	Float	0.0
0x0A50	Byte	0
0x0A58	Int32	0
0x0A58	Float	0.0
0x0A58	Byte	0
0x0A60	Float	0.15000000596046448
0x0A60	Byte	154
0x0A68	Int32	0
0x0A68	Float	0.0
0x0A68	Byte	0
0x0A70	Int32	0
0x0A70	Float	0.0
0x0A70	Byte	0
0x0A78	Int32	0
0x0A78	Float	0.0
0x0A78	Byte	0
0x0A80	Int32	0
0x0A80	Float	0.0
0x0A80	Byte	0
0x0A88	Int32	0
0x0A88	Float	0.0
0x0A88	Byte	0
0x0A90	Int32	0
0x0A90	Float	0.0
0x0A90	Byte	0
0x0A98	Int32	0
0x0A98	Float	0.0
0x0A98	Byte	0
0x0AA0	Int32	0
0x0AA0	Float	0.0
0x0AA0	Byte	0
0x0AA8	Int32	0
0x0AA8	Float	0.0
0x0AA8	Byte	0
0x0AB0	Int32	0
0x0AB0	Float	0.0
0x0AB0	Byte	0
0x0AB8	Int32	0
0x0AB8	Float	0.0
0x0AB8	Byte	0
0x0AC0	Int32	0
0x0AC0	Float	0.0
0x0AC0	Byte	0
0x0AC8	Int32	0
0x0AC8	Float	0.0
0x0AC8	Byte	0
0x0AD0	Int32	0
0x0AD0	Float	0.0
0x0AD0	Byte	0
0x0AD8	Int32	0
0x0AD8	Float	0.0
0x0AD8	Byte	0
0x0AE0	Int32	5182359
0x0AE0	Float	7.262031708279895e-39
0x0AE0	Byte	151
0x0AE8	Int32	11
0x0AE8	Float	1.5414283107572988e-44
0x0AE8	Byte	11
0x0AF0	Int32	0
0x0AF0	Float	0.0
0x0AF0	Byte	0
0x0AF8	Ptr	0x6412C400
0x0AF8	Byte	0
0x0B00	Int32	0
0x0B00	Float	0.0
0x0B00	Byte	0
0x0B08	Int32	0
0x0B08	Float	0.0
0x0B08	Byte	0
0x0B10	Int32	4930812
0x0B10	Float	6.90953928347438e-39
0x0B10	Byte	252
0x0B18	Int32	5056186
0x0B18	Float	7.08522567714064e-39
0x0B18	Byte	186
0x0B20	Int32	257
0x0B20	Float	3.60133705331478e-43
0x0B20	Byte	1
0x0B28	Int32	0
0x0B28	Float	0.0
0x0B28	Byte	0
0x0B30	Ptr	0x100000000
0x0B30	Int32	0
0x0B30	Float	0.0
0x0B30	Byte	0
0x0B38	Int32	0
0x0B38	Float	0.0
0x0B38	Byte	0
0x0B40	Ptr	0x13E800000
0x0B40	Float	0.25
0x0B40	Byte	0
0x0B48	Ptr	0x109AD0100
0x0B48	Float	4.164917544285463e-33
0x0B48	Byte	0
0x0B50	Ptr	0x6412C400
0x0B50	Byte	0
0x0B58	Int32	0
0x0B58	Float	0.0
0x0B58	Byte	0
0x0B60	Int32	2949
